artist_name,artist_id,kana_name
森高千里,23262,森高千里
真心ブラザーズ,11522,まごころぶらざーず
真心ブラザーズ,11522,真心ブラザーズ
杉良太郎,16332,すぎりょうたろう
杉良太郎,16332,杉良太郎
清春,15202,きよはる
清春,15202,清春
石川さゆり,19922,いしかわさゆり
石川さゆり,19922,石川さゆり
川中美幸,20752,かわなかみゆき
川中美幸,20752,川中美幸
中島美嘉,22132,なかしまみか
中島美嘉,22132,中島美嘉
島津亜矢,21442,しまずあや
島津亜矢,21442,島津亜矢
馬場俊英,17822,ばばとしひで
馬場俊英,17822,馬場俊英
八神純子,23312,やがみじゅんこ
八神純子,23312,八神純子
浜崎貴司,17722,はまざきたかし
浜崎貴司,17722,浜崎貴司
矢野顕子,23362,やのあきこ
矢野顕子,23362,矢野顕子
上地雄輔,19162,ゆうすけ
上地雄輔,19162,遊助
藍井エイル,19562,あおいえいる
藍井エイル,19562,藍井エイル
鈴木雅之,16382,すずきまさゆき
鈴木雅之,16382,鈴木雅之
髭(HiGE),9702,ひげ
髭(HiGE),9702,髭
髭(HiGE),9702,HiGE
lecca,23682,れっか
lecca,23682,レッカ
lecca,23682,lecca
kokua,4432,こくあ
kokua,4432,コクア
kokua,4432,kokua
五木ひろし,14172,いつきひろし
五木ひろし,14172,五木ひろし
清木場俊介,15182,きよきばしゅんすけ
清木場俊介,15182,清木場俊介
SPECIAL OTHERS,6742,すぺしゃるあざーず
SPECIAL OTHERS,6742,スペシャルアザーズ
SPECIAL OTHERS,6742,SPECIALOTHERS
高垣彩陽,28782,たかがきあやひ
高垣彩陽,28782,高垣彩陽
辻井伸行,24792,つじいのぶゆき
辻井伸行,24792,辻井伸行
島袋寛子,21452,島袋寛子
島袋寛子,21452,しまぶくろひろこ
ゆるゆり,12382,ゆるゆり
美輪明宏,18812,みわあきひろ
美輪明宏,18812,美輪明宏
The Birthday,5402,ざばーすでー
The Birthday,5402,ザバースデー
The Birthday,5402,TheBirthday
The Birthday,5402,ばーすでー
The Birthday,5402,バースデー
The Birthday,5402,Birthday
Lovelyz,32942,らぶりーず
Lovelyz,32942,ラブリーズ
Lovelyz,32942,LOVELYZ
日本センチュリー交響楽団,25022,にほんせんちゅりーこうきょうがくだん
日本センチュリー交響楽団,25022,日本センチュリー交響楽団
cero,7062,せろ
cero,7062,セロ
cero,7062,cero
仲井戸麗市,17332,なかいどれいち
仲井戸麗市,17332,仲井戸麗市
Chage,16962,ちゃげ
Chage,16962,チャゲ
Chage,16962,Chage
Chaka Khan,21902,ちゃかかーん
Chaka Khan,21902,チャカカーン
Chaka Khan,21902,ChakaKhan
チャンミン(東方神起),31792,ちゃんみん
チャンミン(東方神起),31792,チャンミン
Chanty,5792,しゃんてぃー
Chanty,5792,シャンティー
Chanty,5792,Chanty
Char,16972,ちゃー
Char,16972,チャー
Char,16972,Char
チャラン･ポ･ランタン,7692,ちゃらんぽらんたん
チャラン･ポ･ランタン,7692,チャランポランタン
Charisma.com,3142,かりすまどっとこむ
Charisma.com,3142,カリスマドットコム
Cheeky Parade,26652,ちーきーぱれーど
Cheeky Parade,26652,チーキーパレード
Cheeky Parade,26652,CheekyParade
CHEHON,16942,ちぇほん
CHEHON,16942,チェホン
CHEHON,16942,CHEHON
Chelsy,7632,ちぇるしー
Chelsy,7632,チェルシー
Chelsy,7632,Chelsy
CHERRYBLOSSOM,7622,ちぇりーぶろっさむ
CHERRYBLOSSOM,7622,チェリーブロッサム
チバユウスケ,16952,ちばゆうすけ
チバユウスケ,16952,チバユウスケ
CHiCO with HoneyWorks,9192,ちこ
CHiCO with HoneyWorks,9192,チコ
CHiCO with HoneyWorks,9192,CHiCO
綾戸智恵,25682,あやどちえ
綾戸智恵,25682,綾戸智恵
茅原実里,28982,ちはらみのり
茅原実里,28982,茅原実里
チリヌルヲワカ,7752,ちりぬるをわか
チリヌルヲワカ,7752,チリヌルヲワカ
千菅春香,28972,ちすがはるか
千菅春香,28972,千菅春香
Chocolat,21502,しょこら
Chocolat,21502,ショコラ
Chocolat,21502,Chocolat
チェ･ジェリム,31722,ちぇじぇりむ
チェ･ジェリム,31722,チェジェリム
超新星,31862,ちょうしんせい
超新星,31862,超新星
ChouCho,21922,ちょうちょ
ChouCho,21922,チョウチョ
